player_id,team_id,first_name,last_name,birth_date,height,weight,position,draft_year,season_exp
1642402,1610612750,Enrique,Freeman,2000-07-29,79,220,F,2024,1
1642377,1610612763,Jaylen,Wells,2003-08-26,80,,F,2024,1
1642367,1610612761,Jonathan,Mogbo,2001-10-29,81,225,F,2024,1
1642366,1610612744,Quinten,Post,2000-03-21,84,238,C,2024,1
1642365,1610612737,Nikola,Đurišić,2004-02-23,80,214,G,2024,
1642359,1610612752,Pacôme,Dadiet,2005-07-27,80,210,F,2024,1
1642358,1610612764,AJ,Johnson,2004-12-01,77,160,G,2024,1
1642355,1610612747,Bronny,James,2004-10-06,75,210,G,2024,1
1642354,1610612766,KJ,Simpson,2002-08-08,72,189,G,2024,1
1642353,1610612746,Cam,Christie,2005-07-24,78,190,G,2024,1
1642349,1610612760,Ajay,Mitchell,2002-06-25,77,190,G,2024,1
1642347,1610612761,Jamal,Shead,2002-07-24,73,200,G,2024,1
1642346,1610612756,Ryan,Dunn,2003-01-07,80,216,F,2024,1
1642345,1610612756,Oso,Ighodaro,2002-07-14,84,235,F,2024,1
1642285,1610612763,Cam,Spencer,2000-04-06,76,205,G,2024,1
1642281,1610612739,Jaylon,Tyson,2002-12-02,78,215,G-F,2024,1
1642279,1610612761,Ulrich,Chomche,2005-12-30,83,235,C,2024,1
1642278,1610612752,Tyler,Kolek,2001-03-27,75,195,G,2024,1
1642277,1610612754,Johnny,Furphy,2004-12-08,81,200,G,2024,1
1642276,1610612748,Kel'el,Ware,2004-04-20,84,230,C,2024,1
1642275,1610612766,Tidjane,Salaün,2005-08-10,80,207,F,2024,1
1642274,1610612740,Yves,Missi,2004-05-14,83,235,C,2024,1
1642273,1610612764,Kyshawn,George,2003-12-12,80,200,F,2024,1
1642272,1610612755,Jared,McCain,2004-02-20,75,195,G,2024,1
1642271,1610612762,Kyle,Filipowski,2003-11-07,83,250,C,2024,1
1642270,1610612757,Donovan,Clingan,2004-02-23,86,280,C,2024,1
1642269,1610612758,Devin,Carter,2002-03-18,74,195,G,2024,1
1642268,1610612762,Isaiah,Collier,2004-10-08,75,210,G,2024,1
1642267,1610612764,Bub,Carrington,2005-07-21,76,190,G,2024,1
1642266,1610612761,Ja'Kobe,Walter,2004-09-04,77,180,G,2024,1
1642265,1610612750,Rob,Dillingham,2005-01-04,75,175,G,2024,1
1642264,1610612759,Stephon,Castle,2004-11-01,78,215,G,2024,1
1642263,1610612745,Reed,Sheppard,2004-06-24,74,185,G,2024,1
1642262,1610612762,Cody,Williams,2004-11-20,79,190,F,2024,1
1642261,1610612747,Dalton,Knecht,2001-04-19,78,215,F,2024,1
1642260,1610612760,Nikola,Topić,2005-08-10,78,200,G,2024,
1642259,1610612764,Alex,Sarr,2005-04-26,84,205,C,2024,1
1642258,1610612737,Zaccharie,Risacher,2005-04-08,80,200,F,2024,1
1641890,1610612749,Tyler,Smith,2004-11-02,81,224,F,2024,1
1641842,1610612765,Ronald,Holland II,2005-07-07,80,206,F,2024,1
1641824,1610612741,Matas,Buzelis,2004-10-13,82,209,F,2024,1
1641817,1610612752,Anton,Watson,2000-10-06,80,225,F,2024,1
1641816,1610612743,Hunter,Tyson,2000-06-13,80,215,F,2023,2
1641810,1610612766,Antonio,Reeves,2000-11-20,77,205,G,2024,1
1641803,1610612750,Tristen,Newton,2001-04-26,77,190,G,2024,1
1641796,1610612748,Pelle,Larsson,2001-02-23,77,215,G,2024,1
1641794,1610612764,Dillon,Jones,2001-10-29,77,235,F,2024,1
1641783,1610612753,Tristan,da Silva,2001-05-15,80,217,F,2024,1
1641775,1610612738,Jordan,Walsh,2004-03-03,78,205,G,2023,2
1641774,1610612764,Tristan,Vukcevic,2003-03-11,84,220,F,2023,2
1641771,1610612754,Jalen,Slawson,1999-10-22,79,215,F,2023,1
1641767,1610612754,Ben,Sheppard,2001-07-16,78,190,G,2023,2
